a1 1.0	a1
khaih9 1.0	kh aih9
khainn1 1.0	kh ainn1
khainn2 1.0	kh ainn2
khainn3 1.0	kh ainn3
khainn4 1.0	kh ainn4
khainn5 1.0	kh ainn5
khainn6 1.0	kh ainn6
khainn7 1.0	kh ainn7
khainn8 1.0	kh ainn8
khainn9 1.0	kh ainn9
khak1 1.0	kh ak1
khak2 1.0	kh ak2
khak3 1.0	kh ak3
khak4 1.0	kh ak4
khak5 1.0	kh ak5
khak6 1.0	kh ak6
khak7 1.0	kh ak7
khak8 1.0	kh ak8
khak9 1.0	kh ak9
kham1 1.0	kh am1
kham2 1.0	kh am2
kham3 1.0	kh am3
kham4 1.0	kh am4
kham5 1.0	kh am5
kham6 1.0	kh am6
kham7 1.0	kh am7
kham8 1.0	kh am8
kham9 1.0	kh am9
khan1 1.0	kh an1
khan2 1.0	kh an2
khan3 1.0	kh an3
khan4 1.0	kh an4
khan5 1.0	kh an5
khan6 1.0	kh an6
khan7 1.0	kh an7
khan8 1.0	kh an8
khan9 1.0	kh an9
khang1 1.0	kh ang1
khang2 1.0	kh ang2
khang3 1.0	kh ang3
khang4 1.0	kh ang4
khang5 1.0	kh ang5
khang6 1.0	kh ang6
khang7 1.0	kh ang7
khang8 1.0	kh ang8
khang9 1.0	kh ang9
khann1 1.0	kh ann1
khann2 1.0	kh ann2
khann3 1.0	kh ann3
khann4 1.0	kh ann4
khann5 1.0	kh ann5
khann6 1.0	kh ann6
khann7 1.0	kh ann7
khann8 1.0	kh ann8
khann9 1.0	kh ann9
khannh1 1.0	kh annh1
khannh2 1.0	kh annh2
khannh3 1.0	kh annh3
khannh4 1.0	kh annh4
khannh5 1.0	kh annh5
khannh6 1.0	kh annh6
khannh7 1.0	kh annh7
khannh8 1.0	kh annh8
khannh9 1.0	kh annh9
khap1 1.0	kh ap1
khap2 1.0	kh ap2
khap3 1.0	kh ap3
khap4 1.0	kh ap4
khap5 1.0	kh ap5
khap6 1.0	kh ap6
khap7 1.0	kh ap7
khap8 1.0	kh ap8
khap9 1.0	kh ap9
khat1 1.0	kh at1
khat2 1.0	kh at2
khat3 1.0	kh at3
khat4 1.0	kh at4
khat5 1.0	kh at5
khat6 1.0	kh at6
khat7 1.0	kh at7
khat8 1.0	kh at8
khat9 1.0	kh at9
khau1 1.0	kh au1
khau2 1.0	kh au2
khau3 1.0	kh au3
khau4 1.0	kh au4
khau5 1.0	kh au5
khau6 1.0	kh au6
khau7 1.0	kh au7
khau8 1.0	kh au8
khau9 1.0	kh au9
khauh1 1.0	kh auh1
khauh2 1.0	kh auh2
khauh3 1.0	kh auh3
khauh4 1.0	kh auh4
khauh5 1.0	kh auh5
khauh6 1.0	kh auh6
khauh7 1.0	kh auh7
khauh8 1.0	kh auh8
khauh9 1.0	kh auh9
khe1 1.0	kh e1
khe2 1.0	kh e2
khe3 1.0	kh e3
khe4 1.0	kh e4
khe5 1.0	kh e5
khe6 1.0	kh e6
khe7 1.0	kh e7
khe8 1.0	kh e8
khe9 1.0	kh e9
kheh1 1.0	kh eh1
kheh2 1.0	kh eh2
kheh3 1.0	kh eh3
kheh4 1.0	kh eh4
kheh5 1.0	kh eh5
kheh6 1.0	kh eh6
kheh7 1.0	kh eh7
kheh8 1.0	kh eh8
kheh9 1.0	kh eh9
khenn1 1.0	kh enn1
khenn2 1.0	kh enn2
khenn3 1.0	kh enn3
khenn4 1.0	kh enn4
khenn5 1.0	kh enn5
khenn6 1.0	kh enn6
khenn7 1.0	kh enn7
khenn8 1.0	kh enn8
khenn9 1.0	kh enn9
khennh1 1.0	kh ennh1
khennh2 1.0	kh ennh2
khennh3 1.0	kh ennh3
khennh4 1.0	kh ennh4
khennh5 1.0	kh ennh5
khennh6 1.0	kh ennh6
khennh7 1.0	kh ennh7
khennh8 1.0	kh ennh8
khennh9 1.0	kh ennh9
kher1 1.0	kh er1
kher2 1.0	kh er2
kher3 1.0	kh er3
kher4 1.0	kh er4
kher5 1.0	kh er5
kher6 1.0	kh er6
kher7 1.0	kh er7
kher8 1.0	kh er8
kher9 1.0	kh er9
kherh1 1.0	kh erh1
kherh2 1.0	kh erh2
kherh3 1.0	kh erh3
kherh4 1.0	kh erh4
kherh5 1.0	kh erh5
kherh6 1.0	kh erh6
kherh7 1.0	kh erh7
kherh8 1.0	kh erh8
kherh9 1.0	kh erh9
khi1 1.0	kh i1
khi2 1.0	kh i2
khi3 1.0	kh i3
khi4 1.0	kh i4
khi5 1.0	kh i5
khi6 1.0	kh i6
khi7 1.0	kh i7
khi8 1.0	kh i8
khi9 1.0	kh i9
khia1 1.0	kh ia1
khia2 1.0	kh ia2
khia3 1.0	kh ia3
khia4 1.0	kh ia4
khia5 1.0	kh ia5
khia6 1.0	kh ia6
khia7 1.0	kh ia7
khia8 1.0	kh ia8
khia9 1.0	kh ia9
khiah1 1.0	kh iah1
khiah2 1.0	kh iah2
khiah3 1.0	kh iah3
khiah4 1.0	kh iah4
khiah5 1.0	kh iah5
khiah6 1.0	kh iah6
khiah7 1.0	kh iah7
khiah8 1.0	kh iah8
khiah9 1.0	kh iah9
khiak1 1.0	kh iak1
khiak2 1.0	kh iak2
khiak3 1.0	kh iak3
khiak4 1.0	kh iak4
khiak5 1.0	kh iak5
khiak6 1.0	kh iak6
khiak7 1.0	kh iak7
khiak8 1.0	kh iak8
khiak9 1.0	kh iak9
khiam1 1.0	kh iam1
khiam2 1.0	kh iam2
khiam3 1.0	kh iam3
khiam4 1.0	kh iam4
khiam5 1.0	kh iam5
khiam6 1.0	kh iam6
khiam7 1.0	kh iam7
khiam8 1.0	kh iam8
khiam9 1.0	kh iam9
khian1 1.0	kh ian1
khian2 1.0	kh ian2
khian3 1.0	kh ian3
khian4 1.0	kh ian4
khian5 1.0	kh ian5
khian6 1.0	kh ian6
khian7 1.0	kh ian7
khian8 1.0	kh ian8
khian9 1.0	kh ian9
khiang1 1.0	kh iang1
khiang2 1.0	kh iang2
khiang3 1.0	kh iang3
khiang4 1.0	kh iang4
khiang5 1.0	kh iang5
khiang6 1.0	kh iang6
khiang7 1.0	kh iang7
khiang8 1.0	kh iang8
khiang9 1.0	kh iang9
khiann1 1.0	kh iann1
khiann2 1.0	kh iann2
khiann3 1.0	kh iann3
khiann4 1.0	kh iann4
khiann5 1.0	kh iann5
khiann6 1.0	kh iann6
khiann7 1.0	kh iann7
khiann8 1.0	kh iann8
khiann9 1.0	kh iann9
khiannh1 1.0	kh iannh1
khiannh2 1.0	kh iannh2
khiannh3 1.0	kh iannh3
khiannh4 1.0	kh iannh4
khiannh5 1.0	kh iannh5
khiannh6 1.0	kh iannh6
khiannh7 1.0	kh iannh7
khiannh8 1.0	kh iannh8
khiannh9 1.0	kh iannh9
khiap1 1.0	kh iap1
khiap2 1.0	kh iap2
khiap3 1.0	kh iap3
khiap4 1.0	kh iap4
khiap5 1.0	kh iap5
khiap6 1.0	kh iap6
khiap7 1.0	kh iap7
khiap8 1.0	kh iap8
khiap9 1.0	kh iap9
khiat1 1.0	kh iat1
khiat2 1.0	kh iat2
khiat3 1.0	kh iat3
khiat4 1.0	kh iat4
khiat5 1.0	kh iat5
khiat6 1.0	kh iat6
khiat7 1.0	kh iat7
khiat8 1.0	kh iat8
khiat9 1.0	kh iat9
khiau1 1.0	kh iau1
khiau2 1.0	kh iau2
khiau3 1.0	kh iau3
khiau4 1.0	kh iau4
khiau5 1.0	kh iau5
khiau6 1.0	kh iau6
khiau7 1.0	kh iau7
khiau8 1.0	kh iau8
khiau9 1.0	kh iau9
khiauh1 1.0	kh iauh1
khiauh2 1.0	kh iauh2
khiauh3 1.0	kh iauh3
khiauh4 1.0	kh iauh4
khiauh5 1.0	kh iauh5
khiauh6 1.0	kh iauh6
khiauh7 1.0	kh iauh7
khiauh8 1.0	kh iauh8
khiauh9 1.0	kh iauh9
khiaunn1 1.0	kh iaunn1
khiaunn2 1.0	kh iaunn2
khiaunn3 1.0	kh iaunn3
khiaunn4 1.0	kh iaunn4
khiaunn5 1.0	kh iaunn5
khiaunn6 1.0	kh iaunn6
khiaunn7 1.0	kh iaunn7
khiaunn8 1.0	kh iaunn8
khiaunn9 1.0	kh iaunn9
khih1 1.0	kh ih1
khih2 1.0	kh ih2
khih3 1.0	kh ih3
khih4 1.0	kh ih4
khih5 1.0	kh ih5
khih6 1.0	kh ih6
khih7 1.0	kh ih7
khih8 1.0	kh ih8
khih9 1.0	kh ih9
khik1 1.0	kh ik1
khik2 1.0	kh ik2
khik3 1.0	kh ik3
khik4 1.0	kh ik4
khik5 1.0	kh ik5
khik6 1.0	kh ik6
khik7 1.0	kh ik7
khik8 1.0	kh ik8
khik9 1.0	kh ik9
khim1 1.0	kh im1
khim2 1.0	kh im2
khim3 1.0	kh im3
khim4 1.0	kh im4
khim5 1.0	kh im5
khim6 1.0	kh im6
khim7 1.0	kh im7
khim8 1.0	kh im8
khim9 1.0	kh im9
khin1 1.0	kh in1
khin2 1.0	kh in2
khin3 1.0	kh in3
khin4 1.0	kh in4
khin5 1.0	kh in5
khin6 1.0	kh in6
khin7 1.0	kh in7
khin8 1.0	kh in8
khin9 1.0	kh in9
khing1 1.0	kh ing1
khing2 1.0	kh ing2
khing3 1.0	kh ing3
khing4 1.0	kh ing4
khing5 1.0	kh ing5
khing6 1.0	kh ing6
khing7 1.0	kh ing7
khing8 1.0	kh ing8
khing9 1.0	kh ing9
khinn1 1.0	kh inn1
khinn2 1.0	kh inn2
khinn3 1.0	kh inn3
khinn4 1.0	kh inn4
khinn5 1.0	kh inn5
khinn6 1.0	kh inn6
khinn7 1.0	kh inn7
khinn8 1.0	kh inn8
khinn9 1.0	kh inn9
khinnh1 1.0	kh innh1
khinnh2 1.0	kh innh2
khinnh3 1.0	kh innh3
khinnh4 1.0	kh innh4
khinnh5 1.0	kh innh5
khinnh6 1.0	kh innh6
khinnh7 1.0	kh innh7
khinnh8 1.0	kh innh8
khinnh9 1.0	kh innh9
khio1 1.0	kh io1
khio2 1.0	kh io2
khio3 1.0	kh io3
khio4 1.0	kh io4
khio5 1.0	kh io5
khio6 1.0	kh io6
khio7 1.0	kh io7
khio8 1.0	kh io8
khio9 1.0	kh io9
khioh1 1.0	kh ioh1
khioh2 1.0	kh ioh2
khioh3 1.0	kh ioh3
khioh4 1.0	kh ioh4
khioh5 1.0	kh ioh5
khioh6 1.0	kh ioh6
khioh7 1.0	kh ioh7
khioh8 1.0	kh ioh8
khioh9 1.0	kh ioh9
khiok1 1.0	kh iok1
khiok2 1.0	kh iok2
khiok3 1.0	kh iok3
khiok4 1.0	kh iok4
khiok5 1.0	kh iok5
khiok6 1.0	kh iok6
khiok7 1.0	kh iok7
khiok8 1.0	kh iok8
khiok9 1.0	kh iok9
khiong1 1.0	kh iong1
khiong2 1.0	kh iong2
khiong3 1.0	kh iong3
khiong4 1.0	kh iong4
khiong5 1.0	kh iong5
khiong6 1.0	kh iong6
khiong7 1.0	kh iong7
khiong8 1.0	kh iong8
khiong9 1.0	kh iong9
khionn1 1.0	kh ionn1
khionn2 1.0	kh ionn2
khionn3 1.0	kh ionn3
khionn4 1.0	kh ionn4
khionn5 1.0	kh ionn5
khionn6 1.0	kh ionn6
khionn7 1.0	kh ionn7
khionn8 1.0	kh ionn8
khionn9 1.0	kh ionn9
khiooh1 1.0	kh iooh1
khiooh2 1.0	kh iooh2
khiooh3 1.0	kh iooh3
khiooh4 1.0	kh iooh4
khiooh5 1.0	kh iooh5
khiooh6 1.0	kh iooh6
khiooh7 1.0	kh iooh7
khiooh8 1.0	kh iooh8
khiooh9 1.0	kh iooh9
khior1 1.0	kh ior1
khior2 1.0	kh ior2
khior3 1.0	kh ior3
khior4 1.0	kh ior4
khior5 1.0	kh ior5
khior6 1.0	kh ior6
khior7 1.0	kh ior7
khior8 1.0	kh ior8
khior9 1.0	kh ior9
khip1 1.0	kh ip1
khip2 1.0	kh ip2
khip3 1.0	kh ip3
khip4 1.0	kh ip4
khip5 1.0	kh ip5
khip6 1.0	kh ip6
khip7 1.0	kh ip7
khip8 1.0	kh ip8
khip9 1.0	kh ip9
khir1 1.0	kh ir1
khir2 1.0	kh ir2
khir3 1.0	kh ir3
khir4 1.0	kh ir4
khir5 1.0	kh ir5
khir6 1.0	kh ir6
khir7 1.0	kh ir7
khir8 1.0	kh ir8
khir9 1.0	kh ir9
khirn1 1.0	kh irn1
khirn2 1.0	kh irn2
khirn3 1.0	kh irn3
khirn4 1.0	kh irn4
khirn5 1.0	kh irn5
khirn6 1.0	kh irn6
khirn7 1.0	kh irn7
khirn8 1.0	kh irn8
khirn9 1.0	kh irn9
khit1 1.0	kh it1
khit2 1.0	kh it2
khit3 1.0	kh it3
khit4 1.0	kh it4
khit5 1.0	kh it5
khit6 1.0	kh it6
khit7 1.0	kh it7
khit8 1.0	kh it8
khit9 1.0	kh it9
khiu1 1.0	kh iu1
khiu2 1.0	kh iu2
khiu3 1.0	kh iu3
khiu4 1.0	kh iu4
khiu5 1.0	kh iu5
khiu6 1.0	kh iu6
khiu7 1.0	kh iu7
khiu8 1.0	kh iu8
khiu9 1.0	kh iu9
khiuh1 1.0	kh iuh1
khiuh2 1.0	kh iuh2
khiuh3 1.0	kh iuh3
khiuh4 1.0	kh iuh4
khiuh5 1.0	kh iuh5
khiuh6 1.0	kh iuh6
khiuh7 1.0	kh iuh7
khiuh8 1.0	kh iuh8
khiuh9 1.0	kh iuh9
khiunn1 1.0	kh iunn1
khiunn2 1.0	kh iunn2
khiunn3 1.0	kh iunn3
khiunn4 1.0	kh iunn4
khiunn5 1.0	kh iunn5
khiunn6 1.0	kh iunn6
khiunn7 1.0	kh iunn7
khiunn8 1.0	kh iunn8
khiunn9 1.0	kh iunn9
khm1 1.0	kh m1
khm2 1.0	kh m2
khm3 1.0	kh m3
khm4 1.0	kh m4
khm5 1.0	kh m5
khm6 1.0	kh m6
khm7 1.0	kh m7
khm8 1.0	kh m8
khm9 1.0	kh m9
khmh1 1.0	kh mh1
khmh2 1.0	kh mh2
khmh3 1.0	kh mh3
khmh4 1.0	kh mh4
khmh5 1.0	kh mh5
khmh6 1.0	kh mh6
khmh7 1.0	kh mh7
khmh8 1.0	kh mh8
khmh9 1.0	kh mh9
khng1 1.0	kh ng1
khng2 1.0	kh ng2
khng3 1.0	kh ng3
khng4 1.0	kh ng4
khng5 1.0	kh ng5
khng6 1.0	kh ng6
khng7 1.0	kh ng7
khng8 1.0	kh ng8
khng9 1.0	kh ng9
khngh1 1.0	kh ngh1
khngh2 1.0	kh ngh2
khngh3 1.0	kh ngh3
khngh4 1.0	kh ngh4
khngh5 1.0	kh ngh5
khngh6 1.0	kh ngh6
khngh7 1.0	kh ngh7
khngh8 1.0	kh ngh8
khngh9 1.0	kh ngh9
kho1 1.0	kh o1
kho2 1.0	kh o2
kho3 1.0	kh o3
kho4 1.0	kh o4
kho5 1.0	kh o5
kho6 1.0	kh o6
kho7 1.0	kh o7
kho8 1.0	kh o8
kho9 1.0	kh o9
khoh1 1.0	kh oh1
khoh2 1.0	kh oh2
khoh3 1.0	kh oh3
khoh4 1.0	kh oh4
khoh5 1.0	kh oh5
khoh6 1.0	kh oh6
khoh7 1.0	kh oh7
khoh8 1.0	kh oh8
khoh9 1.0	kh oh9
khok1 1.0	kh ok1
khok2 1.0	kh ok2
khok3 1.0	kh ok3
khok4 1.0	kh ok4
khok5 1.0	kh ok5
khok6 1.0	kh ok6
khok7 1.0	kh ok7
khok8 1.0	kh ok8
khok9 1.0	kh ok9
khom1 1.0	kh om1
khom2 1.0	kh om2
khom3 1.0	kh om3
khom4 1.0	kh om4
khom5 1.0	kh om5
khom6 1.0	kh om6
khom7 1.0	kh om7
khom8 1.0	kh om8
khom9 1.0	kh om9
khong1 1.0	kh ong1
khong2 1.0	kh ong2
khong3 1.0	kh ong3
khong4 1.0	kh ong4
khong5 1.0	kh ong5
khong6 1.0	kh ong6
khong7 1.0	kh ong7
khong8 1.0	kh ong8
khong9 1.0	kh ong9
khonn1 1.0	kh onn1
khonn2 1.0	kh onn2
khonn3 1.0	kh onn3
khonn4 1.0	kh onn4
khonn5 1.0	kh onn5
khonn6 1.0	kh onn6
khonn7 1.0	kh onn7
khonn8 1.0	kh onn8
khonn9 1.0	kh onn9
khonnh1 1.0	kh onnh1
khonnh2 1.0	kh onnh2
khonnh3 1.0	kh onnh3
khonnh4 1.0	kh onnh4
khonnh5 1.0	kh onnh5
khonnh6 1.0	kh onnh6
khonnh7 1.0	kh onnh7
khonnh8 1.0	kh onnh8
khonnh9 1.0	kh onnh9
khoo1 1.0	kh oo1
khoo2 1.0	kh oo2
khoo3 1.0	kh oo3
khoo4 1.0	kh oo4
khoo5 1.0	kh oo5
khoo6 1.0	kh oo6
khoo7 1.0	kh oo7
khoo8 1.0	kh oo8
khoo9 1.0	kh oo9
khooh1 1.0	kh ooh1
khooh2 1.0	kh ooh2
khooh3 1.0	kh ooh3
khooh4 1.0	kh ooh4
khooh5 1.0	kh ooh5
khooh6 1.0	kh ooh6
khooh7 1.0	kh ooh7
khooh8 1.0	kh ooh8
khooh9 1.0	kh ooh9
khop1 1.0	kh op1
khop2 1.0	kh op2
khop3 1.0	kh op3
khop4 1.0	kh op4
khop5 1.0	kh op5
khop6 1.0	kh op6
khop7 1.0	kh op7
khop8 1.0	kh op8
khop9 1.0	kh op9
khu1 1.0	kh u1
khu2 1.0	kh u2
khu3 1.0	kh u3
khu4 1.0	kh u4
khu5 1.0	kh u5
khu6 1.0	kh u6
khu7 1.0	kh u7
khu8 1.0	kh u8
khu9 1.0	kh u9
khua1 1.0	kh ua1
khua2 1.0	kh ua2
khua3 1.0	kh ua3
khua4 1.0	kh ua4
khua5 1.0	kh ua5
khua6 1.0	kh ua6
khua7 1.0	kh ua7
khua8 1.0	kh ua8
khua9 1.0	kh ua9
khuah1 1.0	kh uah1
khuah2 1.0	kh uah2
khuah3 1.0	kh uah3
khuah4 1.0	kh uah4
khuah5 1.0	kh uah5
khuah6 1.0	kh uah6
khuah7 1.0	kh uah7
khuah8 1.0	kh uah8
khuah9 1.0	kh uah9
khuai1 1.0	kh uai1
khuai2 1.0	kh uai2
khuai3 1.0	kh uai3
khuai4 1.0	kh uai4
khuai5 1.0	kh uai5
khuai6 1.0	kh uai6
khuai7 1.0	kh uai7
khuai8 1.0	kh uai8
khuai9 1.0	kh uai9
khuainn1 1.0	kh uainn1
khuainn2 1.0	kh uainn2
khuainn3 1.0	kh uainn3
khuainn4 1.0	kh uainn4
khuainn5 1.0	kh uainn5
khuainn6 1.0	kh uainn6
khuainn7 1.0	kh uainn7
khuainn8 1.0	kh uainn8
khuainn9 1.0	kh uainn9
khuainnh1 1.0	kh uainnh1
khuainnh2 1.0	kh uainnh2
khuainnh3 1.0	kh uainnh3
khuainnh4 1.0	kh uainnh4
khuainnh5 1.0	kh uainnh5
khuainnh6 1.0	kh uainnh6
khuainnh7 1.0	kh uainnh7
khuainnh8 1.0	kh uainnh8
khuainnh9 1.0	kh uainnh9
khuan1 1.0	kh uan1
khuan2 1.0	kh uan2
khuan3 1.0	kh uan3
khuan4 1.0	kh uan4
khuan5 1.0	kh uan5
khuan6 1.0	kh uan6
khuan7 1.0	kh uan7
khuan8 1.0	kh uan8
khuan9 1.0	kh uan9
khuang1 1.0	kh uang1
khuang2 1.0	kh uang2
khuang3 1.0	kh uang3
khuang4 1.0	kh uang4
khuang5 1.0	kh uang5
khuang6 1.0	kh uang6
khuang7 1.0	kh uang7
khuang8 1.0	kh uang8
khuang9 1.0	kh uang9
khuann1 1.0	kh uann1
khuann2 1.0	kh uann2
khuann3 1.0	kh uann3
khuann4 1.0	kh uann4
khuann5 1.0	kh uann5
khuann6 1.0	kh uann6
khuann7 1.0	kh uann7
khuann8 1.0	kh uann8
khuann9 1.0	kh uann9
khuat1 1.0	kh uat1
khuat2 1.0	kh uat2
khuat3 1.0	kh uat3
khuat4 1.0	kh uat4
khuat5 1.0	kh uat5
khuat6 1.0	kh uat6
khuat7 1.0	kh uat7
khuat8 1.0	kh uat8
khuat9 1.0	kh uat9
khue1 1.0	kh ue1
khue2 1.0	kh ue2
khue3 1.0	kh ue3
khue4 1.0	kh ue4
khue5 1.0	kh ue5
khue6 1.0	kh ue6
khue7 1.0	kh ue7
khue8 1.0	kh ue8
khue9 1.0	kh ue9
khueh1 1.0	kh ueh1
khueh2 1.0	kh ueh2
khueh3 1.0	kh ueh3
khueh4 1.0	kh ueh4
khueh5 1.0	kh ueh5
khueh6 1.0	kh ueh6
khueh7 1.0	kh ueh7
khueh8 1.0	kh ueh8
khueh9 1.0	kh ueh9
khuh1 1.0	kh uh1
khuh2 1.0	kh uh2
khuh3 1.0	kh uh3
khuh4 1.0	kh uh4
khuh5 1.0	kh uh5
khuh6 1.0	kh uh6
khuh7 1.0	kh uh7
khuh8 1.0	kh uh8
khuh9 1.0	kh uh9
khui1 1.0	kh ui1
khui2 1.0	kh ui2
khui3 1.0	kh ui3
khui4 1.0	kh ui4
khui5 1.0	kh ui5
khui6 1.0	kh ui6
khui7 1.0	kh ui7
khui8 1.0	kh ui8
khui9 1.0	kh ui9
khuih1 1.0	kh uih1
khuih2 1.0	kh uih2
khuih3 1.0	kh uih3
khuih4 1.0	kh uih4
khuih5 1.0	kh uih5
khuih6 1.0	kh uih6
khuih7 1.0	kh uih7
khuih8 1.0	kh uih8
khuih9 1.0	kh uih9
khuinn1 1.0	kh uinn1
khuinn2 1.0	kh uinn2
khuinn3 1.0	kh uinn3
khuinn4 1.0	kh uinn4
khuinn5 1.0	kh uinn5
khuinn6 1.0	kh uinn6
khuinn7 1.0	kh uinn7
khuinn8 1.0	kh uinn8
khuinn9 1.0	kh uinn9
khun1 1.0	kh un1
khun2 1.0	kh un2
khun3 1.0	kh un3
khun4 1.0	kh un4
khun5 1.0	kh un5
khun6 1.0	kh un6
khun7 1.0	kh un7
khun8 1.0	kh un8
khun9 1.0	kh un9
khut1 1.0	kh ut1
khut2 1.0	kh ut2
khut3 1.0	kh ut3
khut4 1.0	kh ut4
khut5 1.0	kh ut5
khut6 1.0	kh ut6
khut7 1.0	kh ut7
khut8 1.0	kh ut8
khut9 1.0	kh ut9
ki1 1.0	k i1
ki2 1.0	k i2
ki3 1.0	k i3
ki4 1.0	k i4
ki5 1.0	k i5
ki6 1.0	k i6
ki7 1.0	k i7
ki8 1.0	k i8
ki9 1.0	k i9
kia1 1.0	k ia1
kia2 1.0	k ia2
kia3 1.0	k ia3
kia4 1.0	k ia4
kia5 1.0	k ia5
kia6 1.0	k ia6
kia7 1.0	k ia7
kia8 1.0	k ia8
kia9 1.0	k ia9
kiah1 1.0	k iah1
kiah2 1.0	k iah2
kiah3 1.0	k iah3
kiah4 1.0	k iah4
kiah5 1.0	k iah5
kiah6 1.0	k iah6
kiah7 1.0	k iah7
kiah8 1.0	k iah8
kiah9 1.0	k iah9
kiak1 1.0	k iak1
kiak2 1.0	k iak2
kiak3 1.0	k iak3
kiak4 1.0	k iak4
kiak5 1.0	k iak5
kiak6 1.0	k iak6
kiak7 1.0	k iak7
kiak8 1.0	k iak8
kiak9 1.0	k iak9
kiam1 1.0	k iam1
kiam2 1.0	k iam2
kiam3 1.0	k iam3
kiam4 1.0	k iam4
kiam5 1.0	k iam5
kiam6 1.0	k iam6
kiam7 1.0	k iam7
kiam8 1.0	k iam8
kiam9 1.0	k iam9
kian1 1.0	k ian1
kian2 1.0	k ian2
kian3 1.0	k ian3
kian4 1.0	k ian4
kian5 1.0	k ian5
kian6 1.0	k ian6
kian7 1.0	k ian7
kian8 1.0	k ian8
kian9 1.0	k ian9
kiang1 1.0	k iang1
kiang2 1.0	k iang2
kiang3 1.0	k iang3
kiang4 1.0	k iang4
kiang5 1.0	k iang5
kiang6 1.0	k iang6
kiang7 1.0	k iang7
kiang8 1.0	k iang8
kiang9 1.0	k iang9
kiann1 1.0	k iann1
kiann2 1.0	k iann2
kiann3 1.0	k iann3
kiann4 1.0	k iann4
kiann5 1.0	k iann5
kiann6 1.0	k iann6
kiann7 1.0	k iann7
kiann8 1.0	k iann8
kiann9 1.0	k iann9
kiannh1 1.0	k iannh1
kiannh2 1.0	k iannh2
kiannh3 1.0	k iannh3
kiannh4 1.0	k iannh4
kiannh5 1.0	k iannh5
kiannh6 1.0	k iannh6
kiannh7 1.0	k iannh7
kiannh8 1.0	k iannh8
kiannh9 1.0	k iannh9
kiap1 1.0	k iap1
kiap2 1.0	k iap2
kiap3 1.0	k iap3
kiap4 1.0	k iap4
kiap5 1.0	k iap5
kiap6 1.0	k iap6
kiap7 1.0	k iap7
kiap8 1.0	k iap8
kiap9 1.0	k iap9
kiat1 1.0	k iat1
kiat2 1.0	k iat2
kiat3 1.0	k iat3
kiat4 1.0	k iat4
kiat5 1.0	k iat5
kiat6 1.0	k iat6
kiat7 1.0	k iat7
kiat8 1.0	k iat8
kiat9 1.0	k iat9
kiau1 1.0	k iau1
kiau2 1.0	k iau2
kiau3 1.0	k iau3
kiau4 1.0	k iau4
kiau5 1.0	k iau5
kiau6 1.0	k iau6
kiau7 1.0	k iau7
kiau8 1.0	k iau8
kiau9 1.0	k iau9
kiauh1 1.0	k iauh1
kiauh2 1.0	k iauh2
kiauh3 1.0	k iauh3
kiauh4 1.0	k iauh4
kiauh5 1.0	k iauh5
kiauh6 1.0	k iauh6
kiauh7 1.0	k iauh7
kiauh8 1.0	k iauh8
kiauh9 1.0	k iauh9
kiaunn1 1.0	k iaunn1
kiaunn2 1.0	k iaunn2
kiaunn3 1.0	k iaunn3
kiaunn4 1.0	k iaunn4
kiaunn5 1.0	k iaunn5
kiaunn6 1.0	k iaunn6
kiaunn7 1.0	k iaunn7
kiaunn8 1.0	k iaunn8
kiaunn9 1.0	k iaunn9
kih1 1.0	k ih1
kih2 1.0	k ih2
kih3 1.0	k ih3
kih4 1.0	k ih4
kih5 1.0	k ih5
kih6 1.0	k ih6
kih7 1.0	k ih7
kih8 1.0	k ih8
kih9 1.0	k ih9
kik1 1.0	k ik1
kik2 1.0	k ik2
kik3 1.0	k ik3
kik4 1.0	k ik4
kik5 1.0	k ik5
kik6 1.0	k ik6
kik7 1.0	k ik7
kik8 1.0	k ik8
kik9 1.0	k ik9
kim1 1.0	k im1
kim2 1.0	k im2
kim3 1.0	k im3
kim4 1.0	k im4
kim5 1.0	k im5
kim6 1.0	k im6
kim7 1.0	k im7
kim8 1.0	k im8
kim9 1.0	k im9
kin1 1.0	k in1
kin2 1.0	k in2
kin3 1.0	k in3
kin4 1.0	k in4
kin5 1.0	k in5
kin6 1.0	k in6
kin7 1.0	k in7
kin8 1.0	k in8
kin9 1.0	k in9
king1 1.0	k ing1
king2 1.0	k ing2
king3 1.0	k ing3
king4 1.0	k ing4
king5 1.0	k ing5
king6 1.0	k ing6
king7 1.0	k ing7
king8 1.0	k ing8
king9 1.0	k ing9
kinn1 1.0	k inn1
kinn2 1.0	k inn2
kinn3 1.0	k inn3
kinn4 1.0	k inn4
kinn5 1.0	k inn5
kinn6 1.0	k inn6
kinn7 1.0	k inn7
kinn8 1.0	k inn8
kinn9 1.0	k inn9
kinnh1 1.0	k innh1
kinnh2 1.0	k innh2
kinnh3 1.0	k innh3
kinnh4 1.0	k innh4
kinnh5 1.0	k innh5
kinnh6 1.0	k innh6
kinnh7 1.0	k innh7
kinnh8 1.0	k innh8
kinnh9 1.0	k innh9
kio1 1.0	k io1
kio2 1.0	k io2
kio3 1.0	k io3
kio4 1.0	k io4
kio5 1.0	k io5
kio6 1.0	k io6
kio7 1.0	k io7
kio8 1.0	k io8
kio9 1.0	k io9
kioh1 1.0	k ioh1
kioh2 1.0	k ioh2
kioh3 1.0	k ioh3
kioh4 1.0	k ioh4
kioh5 1.0	k ioh5
kioh6 1.0	k ioh6
